"";"date";"leaves";"egg";"L1";"L2";"L3";"L4";"L5";"imago"
"1";"2005-04-04 12:00:00";NA;27;37;0;0;0;0;0
"3";"2005-04-05 12:00:00";NA;16;6;0;0;0;0;0
"5";"2005-04-06 12:00:00";NA;14;6;0;0;0;0;0
"7";"2005-04-07 12:00:00";NA;11;0;0;0;0;0;0
"8";"2005-04-08 12:00:00";NA;8;0;0;0;0;0;0
"9";"2005-04-13 12:00:00";NA;4;15;12;0;0;0;0
"12";"2005-04-15 12:00:00";NA;4;11;18;0;0;0;0
"15";"2005-04-16 12:00:00";NA;16;11;17;0;0;0;0
"18";"2005-04-18 12:00:00";NA;8;7;15;0;0;0;0
"21";"2005-04-21 12:00:00";NA;0;0;2;6;0;0;0
"23";"2005-04-29 12:00:00";NA;0;0;0;3;1;0;0
"25";"2005-05-02 12:00:00";NA;0;0;0;1;3;0;0
"27";"2005-05-07 12:00:00";NA;0;0;0;0;0;3;0
"28";"2005-05-09 12:00:00";NA;0;0;0;0;0;3;0
"29";"2005-05-10 12:00:00";NA;0;0;0;0;0;2;0
"30";"2005-05-11 12:00:00";NA;0;0;0;0;0;3;0
"31";"2005-05-12 08:30:00";NA;0;0;0;0;0;3;0
"32";"2005-05-13 08:30:00";NA;0;0;0;0;0;3;0
"33";"2005-05-14 12:00:00";NA;0;0;0;0;0;3;0
"34";"2005-05-15 12:00:00";NA;0;0;0;0;0;3;0
"35";"2005-05-16 12:00:00";NA;0;0;0;0;0;2;0
"36";"2005-05-17 12:00:00";NA;0;0;0;0;0;3;0
"37";"2005-05-18 12:00:00";NA;0;0;0;0;0;3;0
"38";"2005-05-20 12:00:00";NA;0;0;0;0;0;3;0
"39";"2005-05-21 12:00:00";NA;0;0;0;0;0;2;0
"40";"2005-05-22 12:00:00";NA;0;0;0;0;0;2;0
"41";"2005-05-23 12:00:00";NA;0;0;0;0;0;2;0
"42";"2005-05-24 12:00:00";NA;0;0;0;0;0;2;1
"44";"2005-05-25 12:00:00";NA;0;0;0;0;0;0;1
